age,gender,education,marital_status,employment_status,years_employed,annual_income,credit_score,existing_debt,debt_to_income,num_credit_cards,num_dependents,has_property,approved
59,Male,Bachelors,Single,Self-Employed,6.0,57801.34,653,16662.8,0.288,3,1,1,0
49,Male,Bachelors,Married,Employed,0.0,62576.68,607,15007.82,0.24,2,0,0,0
35,Female,High School,Single,Unemployed,0.0,22138.96,738,9802.69,0.443,0,2,0,0
63,Male,Bachelors,Single,Self-Employed,13.2,60502.49,466,3667.93,0.061,4,0,1,1
28,Male,PhD,Single,Employed,8.6,118110.6,671,20325.84,0.172,2,0,1,1
41,Female,Masters,Single,Self-Employed,0.0,78417.18,493,4284.24,0.055,1,0,0,0
59,Female,Bachelors,Single,Employed,0.0,52966.62,555,12983.31,0.245,5,1,1,0
39,Male,Bachelors,Married,Employed,9.6,66379.95,606,0.0,0.0,3,1,1,0
43,Male,Masters,Married,Retired,3.1,17557.33,754,17423.97,0.992,2,0,1,0
31,Male,Bachelors,Married,Unemployed,0.0,28662.08,743,0.0,0.0,1,0,0,0
31,Female,High School,Single,Employed,11.3,74971.82,669,6118.78,0.082,2,1,1,1
44,Female,High School,Single,Employed,9.6,47093.09,654,1627.06,0.035,2,0,0,1
56,Male,Bachelors,Married,Employed,1.9,55439.32,746,16373.06,0.295,4,2,1,0
60,Male,PhD,Single,Employed,12.2,98459.4,776,3546.97,0.036,3,2,0,1
44,Female,Bachelors,Single,Employed,2.0,79732.4,613,11172.79,0.14,0,1,1,0
23,Male,High School,Married,Employed,2.9,76574.83,723,9601.76,0.125,0,3,0,0
42,Male,High School,Married,Employed,3.6,40979.48,559,0.0,0.0,0,0,1,0
22,Female,Masters,Single,Employed,0.0,71439.61,625,14173.83,0.198,1,2,1,0
44,Male,Masters,Married,Employed,8.1,75536.56,716,7904.11,0.105,0,1,0,1
64,Female,Bachelors,Single,Retired,8.6,65583.22,598,17045.86,0.26,4,2,1,0
50,Male,Bachelors,Single,Self-Employed,3.7,66140.83,626,11680.97,0.177,5,0,1,1
58,Male,High School,Single,Employed,9.5,93317.59,522,3439.81,0.037,1,1,1,1
22,Female,Masters,Single,Employed,0.0,76779.84,703,6793.21,0.088,4,1,1,1
41,Male,Masters,Married,Employed,9.4,115269.71,603,6622.14,0.057,0,0,1,1
53,Female,High School,Married,Employed,7.6,32139.39,567,12667.98,0.394,2,1,1,0
32,Female,Bachelors,Married,Employed,2.5,37203.06,765,12471.18,0.335,1,2,0,0
42,Male,High School,Divorced,Unemployed,0.0,27971.42,577,3960.77,0.142,1,0,1,0
64,Male,High School,Single,Self-Employed,1.6,72787.74,729,13682.99,0.188,2,1,0,0
45,Male,High School,Married,Self-Employed,11.5,40460.41,744,10439.56,0.258,2,1,0,0
69,Male,High School,Married,Employed,8.6,37669.26,726,12016.35,0.319,2,0,0,0
47,Male,Bachelors,Married,Retired,7.8,65500.29,635,11106.97,0.17,2,0,1,0
62,Male,Bachelors,Married,Retired,3.7,59101.99,616,12974.12,0.22,5,2,0,0
48,Male,Bachelors,Single,Employed,9.9,49151.7,567,2403.13,0.049,3,1,0,0
36,Female,Bachelors,Married,Employed,12.0,47982.27,490,9140.51,0.19,3,1,0,0
35,Female,High School,Single,Employed,14.0,66585.84,727,14044.51,0.211,1,1,0,1
67,Female,High School,Single,Employed,3.3,17362.59,694,14694.33,0.846,0,0,1,0
64,Male,Bachelors,Married,Self-Employed,10.1,86590.47,711,14685.07,0.17,2,2,1,1
23,Male,Bachelors,Married,Employed,13.0,78836.58,408,2684.46,0.034,0,2,1,1
57,Female,High School,Single,Employed,4.8,8000.0,613,20469.48,2.558,1,5,0,0
27,Male,Masters,Divorced,Employed,13.0,80311.37,721,18590.51,0.231,1,1,1,0
41,Male,Bachelors,Married,Employed,6.8,25422.64,753,2806.9,0.11,1,0,1,0
29,Female,Masters,Married,Unemployed,0.0,35898.22,669,6205.86,0.173,1,1,0,0
59,Female,Bachelors,Single,Employed,2.5,54940.58,669,12110.89,0.22,1,2,1,0
38,Male,High School,Single,Self-Employed,0.0,24644.23,576,3671.36,0.149,4,0,1,0
24,Male,Bachelors,Married,Employed,5.8,109363.22,713,11490.34,0.105,3,3,1,1
45,Female,High School,Married,Employed,5.2,67281.16,637,9270.35,0.138,2,0,0,0
34,Female,Bachelors,Single,Employed,6.9,92348.78,605,15732.15,0.17,2,1,1,1
29,Female,High School,Single,Self-Employed,12.8,47194.27,544,10578.31,0.224,2,1,0,0
46,Female,Masters,Married,Employed,5.9,80609.35,580,0.0,0.0,1,0,1,1
22,Female,High School,Married,Employed,4.7,81614.54,695,13175.88,0.161,1,0,1,1
40,Male,Masters,Divorced,Employed,5.0,88674.65,544,15377.77,0.173,4,2,0,0
48,Male,Masters,Married,Employed,0.0,92244.84,644,7621.52,0.083,4,0,0,0
67,Female,Bachelors,Single,Retired,9.4,26776.41,756,8887.27,0.332,3,2,0,0
27,Female,Bachelors,Divorced,Employed,5.2,46683.76,519,8906.51,0.191,2,1,1,1
64,Female,Bachelors,Married,Employed,6.4,70220.8,700,4488.08,0.064,0,0,1,1
28,Male,Masters,Single,Employed,5.0,87459.39,717,22817.0,0.261,2,2,1,0
67,Male,Bachelors,Married,Unemployed,0.0,25058.18,611,3305.58,0.132,3,1,1,0
55,Female,Masters,Single,Employed,0.0,87169.14,724,13567.69,0.156,0,2,1,0
34,Female,Bachelors,Single,Self-Employed,6.0,40566.61,628,13540.08,0.334,1,2,1,0
37,Female,Masters,Single,Unemployed,0.0,60276.6,726,5252.84,0.087,2,0,0,0
56,Female,Bachelors,Single,Employed,6.2,36250.25,546,2381.66,0.066,1,1,0,0
60,Female,Bachelors,Married,Employed,0.9,91559.81,840,7361.15,0.08,2,3,1,1
24,Female,Masters,Single,Employed,8.4,73775.56,791,12183.77,0.165,3,0,1,0
22,Female,Masters,Single,Unemployed,0.0,46128.63,447,9840.7,0.213,1,3,1,0
26,Female,Bachelors,Married,Employed,0.0,42085.23,751,18895.12,0.449,0,2,1,0
62,Female,High School,Married,Employed,10.7,25160.29,585,4474.13,0.178,0,0,1,0
24,Male,Bachelors,Single,Self-Employed,3.4,73728.2,790,4619.7,0.063,2,0,1,1
49,Male,PhD,Divorced,Employed,4.2,115076.04,773,13290.09,0.115,2,2,0,0
38,Female,Masters,Married,Employed,10.0,98074.66,576,0.0,0.0,2,1,1,1
46,Male,Masters,Married,Employed,11.4,107931.83,730,4621.29,0.043,3,0,0,1
64,Male,High School,Single,Employed,3.7,84963.61,604,7216.35,0.085,1,0,0,0
54,Male,Bachelors,Single,Employed,6.6,84158.54,715,7914.51,0.094,2,1,1,1
30,Male,Bachelors,Single,Employed,9.4,54942.14,656,4953.85,0.09,3,4,1,1
56,Male,Masters,Single,Retired,12.3,63389.62,591,0.0,0.0,1,0,1,1
34,Male,High School,Single,Employed,6.4,8000.0,508,16488.12,2.061,1,0,1,0
51,Female,Masters,Single,Unemployed,0.0,72751.6,682,16171.66,0.222,1,2,0,0
68,Male,Bachelors,Married,Self-Employed,1.4,67985.31,700,0.0,0.0,3,0,1,1
35,Male,High School,Single,Employed,0.0,81904.56,651,12043.0,0.147,2,2,1,0
28,Male,Bachelors,Married,Self-Employed,8.8,50132.81,580,7189.47,0.143,1,2,0,0
34,Female,High School,Single,Employed,2.0,60310.31,611,11356.78,0.188,3,1,1,0
43,Male,Bachelors,Married,Retired,1.4,24933.12,538,9683.6,0.388,1,1,0,0
60,Female,High School,Married,Unemployed,0.0,27799.33,705,0.0,0.0,1,1,1,0
41,Female,High School,Married,Employed,5.3,17294.68,439,12812.18,0.741,5,3,1,0
36,Female,Masters,Single,Employed,7.1,107120.93,764,4688.17,0.044,3,5,1,1
65,Male,High School,Married,Employed,0.0,71052.99,653,0.0,0.0,1,0,1,1
38,Female,High School,Single,Employed,1.4,40546.31,692,9195.22,0.227,1,1,0,0
67,Male,Bachelors,Single,Employed,14.2,70236.71,715,0.0,0.0,2,0,1,0
44,Female,Bachelors,Married,Employed,2.7,65769.71,668,14868.64,0.226,2,0,0,0
46,Female,Masters,Married,Self-Employed,5.0,67752.12,623,6253.91,0.092,1,2,1,0
45,Male,Bachelors,Married,Employed,7.2,67463.87,758,8473.55,0.126,6,0,0,0
